id,省名,县名,年份,年末总人口,乡村人口,人均GDP,农村居民人均可支配收入,一般公共预算收入,普通中学学校数,小学专任教师数,医院卫生院床位数,每千人医院卫生院床位数,卫生技术人员数,卫生厕所普及率,社会福利收养性单位数,床位数,每千人社会福利收养性床位数,老龄化率,城镇化率,路网密度,NVDI,WET,LST,NDBSI,RSEI_mean,RSEI_stdDev,优良面积占比,elevation_mean,slope_mean,教育POI密度,医疗POI密度,养老POI密度,商业POI密度,文体POI密度,交通POI密度,教育POI基尼系数,医疗POI基尼系数,养老POI基尼系数,商业POI基尼系数,文体POI基尼系数,交通POI基尼系数,教育POI核密度峰值,医疗POI核密度峰值,养老POI核密度峰值,商业POI核密度峰值,文体POI核密度峰值,交通POI核密度峰值,POI综合覆盖度
520121.0,贵州省,开阳县,2024.0,37.28,,93199.0,24487.0,15.19,20.0,1527.0,1997.0,5.35675965665236,,0.9861,35.0,357.0,0.0957618025751073,,,0.7147,0.748208670425768,-0.0303457459112425,31.7107130772888,-0.218268001557144,0.678859121560093,0.106715491486572,0.812346438467288,1070.93320035279,17.1821478796169,0.023232822540781,0.0914483440434997,0.00296589223924864,0.0726643598615917,0.046465645081562,0.0123578843302027,0.3717,0.2955,0.2112,0.3422,0.3609,0.2421,38.44673521,135.5247891,121.2300862,89.34040336,78.90793562,344.2737566,0.494897959183674
520122.0,贵州省,息烽县,2024.0,23.94,,94843.0,23448.0,5.36,14.0,1200.0,1806.0,7.54385964912281,,0.9898,7.0,540.0,0.225563909774436,,,0.9358,0.713459325640463,-0.0406090218659223,32.3351031503375,-0.187825556253952,0.651323389490648,0.118689168554306,0.721609630862131,1110.06710950192,15.7539334220516,0.0308582449373192,0.0954676952748312,0.00482160077145612,0.158148505303761,0.0154291224686596,0.0250723240115718,0.3339,0.3086,0.1699,0.286,0.3169,0.1806,51.71959894,151.66319458,36.38799788,287.50715351,27.26900012,124.0487365,0.535046728971963
520123.0,贵州省,修文县,2024.0,30.8,,72196.0,23457.0,8.14,16.0,1634.0,1576.0,5.11688311688312,,0.9842,6.0,537.0,0.174350649350649,,,1.4485,0.720064208720685,-0.0405466931839399,32.3151349987006,-0.190997332119396,0.656489785875904,0.131691508811491,0.736939382932581,1275.43026462535,13.979910288826,0.0447761194029851,0.158582089552239,0.00279850746268657,0.138059701492537,0.110074626865672,0.0223880597014925,0.3177,0.2299,0.0,0.2469,0.3733,0.2347,38.34404023,100.46008895,96.71202507,68.86330198,86.99111754,143.182577,0.44212962962963
520181.0,贵州省,清镇市,2024.0,67.31,,52483.0,24685.0,19.8,27.0,3130.0,2605.0,3.87015302332491,3060.0,0.9564,6.0,870.0,0.129252711335611,,,1.1277,0.681866027772805,-0.049637325940987,34.6716984730678,-0.159723741278568,0.643162901815297,0.149752297186691,0.668252120472727,1285.38846881315,13.7166328144325,0.0494444444444444,0.0961111111111111,0.00222222222222222,0.06,0.075,0.0261111111111111,0.388,0.3416,0.1431,0.387,0.3736,0.3016,35.36173425,137.80276612,239.1047585,53.7422111,64.12602271,86.91811989,0.5
520281.0,贵州省,盘州市,2024.0,107.67,,68325.0,17177.0,47.97,65.0,6286.0,8758.0,8.13411349493824,,0.9476,9.0,776.0,0.0720720720720721,,,1.6817,0.77068016638339,-0.0205643895035389,26.2884572621107,-0.259538814304789,0.627298501595904,0.100160849728799,0.706996501503859,1796.04628789833,18.7278004749898,0.0175742574257426,0.0495049504950495,0.00544554455445545,0.0309405940594059,0.0492574257425743,0.0556930693069307,0.3908,0.4288,0.282,0.38,0.4201,0.3971,19.41673651,24.30015149,21.00426185,27.04782101,25.90790155,66.71035216,0.24
520324.0,贵州省,正安县,2024.0,37.52,,39998.0,16887.0,6.63,32.0,1906.0,3786.0,10.090618336887,,0.9995,14.0,1212.0,0.323027718550107,,,0.6533,0.77175969949915,-0.0240033389821581,32.1167376074605,-0.240134449194523,0.711147151171553,0.0847868572778901,0.904016262603051,1003.84922120414,20.4829693434153,0.0247104247104247,0.0768339768339768,0.00154440154440154,0.0513513513513514,0.0108108108108108,0.022007722007722,0.349,0.3412,0.0,0.3028,0.3201,0.2724,32.65505869,75.70405283,,62.08121363,105.9186113,239.9223523,0.474747474747475
520325.0,贵州省,*道真县,2024.0,22.34,,46036.0,16657.0,5.17,22.0,1240.0,2013.0,9.0107430617726,,0.9976,14.0,1052.0,0.470904207699194,,,0.5629,0.776728060063453,-0.0193258529989484,30.9979645104986,-0.252292987546964,0.700706686005841,0.0771292421640666,0.912860295703619,1025.34840405283,21.4983674785674,0.014378478664193,0.0769944341372913,0.000927643784786642,0.0769944341372913,0.0556586270871985,0.0746753246753247,0.2446,0.1918,,0.3084,0.3061,0.3596,77.18457231,372.30841639,,174.47647819,57.95918308,271.8701179,0.368421052631579
520326.0,贵州省,*务川县,2024.0,29.26,,35128.0,16602.0,4.77,27.0,1657.0,3528.0,12.0574162679426,,0.9866,10.0,606.0,0.207108680792891,,,0.6758,0.7882273904711,-0.0224566195272979,31.8460514631696,-0.249696762079547,0.724593912560106,0.0749812177265845,0.938364892628903,971.003609982213,21.0868757859539,0.0163817663817664,0.0587606837606838,0.000356125356125356,0.0544871794871795,0.0299145299145299,0.0192307692307692,0.3486,0.2341,,0.2981,0.3048,0.2074,32.3703903,133.78286751,17252.82007,99.28755691,37.95151364,90.72343549,0.409952606635071
520328.0,贵州省,湄潭县,2024.0,36.63,,42292.0,21723.0,4.84,28.0,1855.0,3472.0,9.47856947856948,,1.0,12.0,788.0,0.215124215124215,,,1.0936,0.766493846461843,-0.0222291747972141,31.9094140727536,-0.243141026764176,0.702155928117404,0.092932921174743,0.877907282967472,944.955096459302,16.8121524336843,0.0198285101822079,0.0643086816720257,0.000535905680600214,0.0857449088960343,0.0702036441586281,0.022508038585209,0.3634,0.3599,,0.3697,0.342,0.3013,33.66308445,79.54725082,,89.68968653,143.9070865,145.9293289,0.394859813084112
520381.0,贵州省,赤水市,2024.0,26.41,,55541.0,20412.0,4.5,19.0,1170.0,2666.0,10.0946611132147,7424.0,0.9986,13.0,1256.0,0.47557743279061,,,1.0666,0.807166603141592,-0.0278127004707269,33.7412354421572,-0.232471617575616,0.766001362254896,0.0811998923596207,0.965160083190925,792.738998939952,23.7833075367489,0.0172786177105832,0.0939524838012959,0.00269978401727862,0.0907127429805616,0.0691144708423326,0.08207343412527,0.2675,0.2488,0.1212,0.2075,0.3994,0.3209,44.27333146,119.9958024,5.34570728,203.03894442,45.4356423,213.664421,0.464646464646465
520382.0,贵州省,仁怀市,2024.0,66.12,,300057.0,20349.0,127.84,32.0,3826.0,4680.0,7.07803992740472,4563.0,0.9973,10.0,970.0,0.14670296430732,,,1.7584,0.69825226616246,-0.0387135478315353,33.3530822845497,-0.182482461343873,0.65592321836464,0.109704236654656,0.754773494153055,946.359777218325,20.7189178190809,0.0435754189944134,0.111731843575419,0.00279329608938547,0.0659217877094972,0.0787709497206704,0.0391061452513966,0.3724,0.3553,0.1755,0.3592,0.3894,0.3365,24.33286166,84.29980167,10.27477145,67.4540823,73.16299409,32.33230609,0.377232142857143
520423.0,贵州省,*镇宁县,2024.0,28.82,,45515.0,14467.0,4.51,13.0,1987.0,1564.0,5.42678695350451,,0.9337,3.0,440.0,0.152671755725191,,,0.9708,0.753685793793028,-0.0393576876503108,31.8165491017144,-0.205272570070187,0.680326715900041,0.116568885207152,0.801570265043859,1044.37429944428,20.1021446816278,0.0302853814793244,0.0821199767035527,0.0034944670937682,0.0827023878858474,0.0745486313337216,0.0512521840419336,0.3166,0.3569,0.2152,0.3935,0.3557,0.3154,84.24632918,72.52259137,42.23854695,52.29364902,86.09272037,340.7040791,0.383408071748879
520424.0,贵州省,*关岭县,2024.0,28.04,,45835.0,14391.0,4.81,27.0,1898.0,1719.0,6.13052781740371,,0.9561,4.0,900.0,0.320970042796006,,,1.7809,0.741405085724952,-0.0418862947891959,30.5257922405329,-0.197351285135238,0.647370046074386,0.113058341885058,0.734898725531736,1121.82974463398,20.3835186566409,0.0307377049180328,0.102459016393443,0.000683060109289617,0.105191256830601,0.0717213114754098,0.046448087431694,0.2817,0.3423,,0.3953,0.3738,0.2512,24.35712547,99.80782777,,84.23397224,84.75064763,222.8477878,0.315668202764977
520425.0,贵州省,*紫云县,2024.0,28.65,,36332.0,14366.0,2.77,16.0,1852.0,1746.0,6.09424083769634,,0.8874,1.0,110.0,0.0383944153577661,,,0.8744,0.793069657812283,-0.0308771321732197,30.4014814981055,-0.232733540959694,0.699384355214125,0.0962743287863851,0.88150636621578,1153.26930384874,23.5886795917657,0.0213238560639716,0.0448689471346068,0.00133274100399822,0.0644158151932474,0.0435362061306086,0.0350955131052865,0.3823,0.2718,0.1081,0.335,0.3461,0.2444,32.59355107,86.15457403,75600824096.0,67.99246348,75.95405016,178.5897993,0.387387387387387
520521.0,贵州省,大方县,2024.0,84.33,,33767.0,15561.0,8.22,54.0,4560.0,6442.0,7.63903711609155,,0.8003,17.0,1160.0,0.137554844064983,,,1.4045,0.779227706071874,-0.0227071453288457,27.4967911788212,-0.25057140720545,0.651694837300776,0.0884376635242261,0.828005579122756,1545.12406594601,17.5364379536422,0.0182857142857143,0.0568571428571429,0.00142857142857143,0.0377142857142857,0.0328571428571429,0.0242857142857143,0.4178,0.455,0.1861,0.3962,0.4281,0.2611,24.35001797,25.90535374,187.1570866,40.25344055,23.0571965,74.08787478,0.313333333333333
520523.0,贵州省,金沙县,2024.0,53.5,,53257.0,16832.0,18.1,36.0,3559.0,4963.0,9.27663551401869,,0.9598,19.0,1070.0,0.2,,,0.9878,0.744436675833925,-0.0334151884827728,31.8257576255892,-0.212296127128251,0.683312338602105,0.102685631453579,0.828833263191591,1105.84342306177,17.0868987271507,0.0285374554102259,0.0669837495045581,0.00237812128418549,0.0495441934205311,0.0317082837891399,0.000792707094728498,0.3551,0.4099,0.2334,0.3207,0.3549,,25.36076022,40.20157394,10.45539777,57.91524647,22.31407329,,0.328125
520524.0,贵州省,织金县,2024.0,71.33,,37240.0,15426.0,12.76,46.0,4466.0,5961.0,8.35693256694238,,0.9241,24.0,1360.0,0.190663115098836,,,1.186,0.784663933141833,-0.0251131277174003,27.7429898133732,-0.248642716951445,0.655018209575665,0.0948551073417769,0.809509143776974,1505.48230430049,18.2996951380429,0.0219895287958115,0.0649214659685864,0.00349040139616056,0.0453752181500873,0.0415357766143106,0.0146596858638743,0.402,0.4187,0.142,0.4115,0.4042,0.2944,16.03561166,39.41488331,6.42671593,31.81310121,40.95979881,136.6256211,0.268888888888889
520525.0,贵州省,纳雍县,2024.0,69.3,,30016.0,14594.0,10.07,51.0,4426.0,4428.0,6.38961038961039,,0.6655,20.0,750.0,0.108225108225108,,,1.373,0.787654776112052,-0.0199776427952307,26.5352273748125,-0.262866805733549,0.644090958029587,0.0882511432684822,0.803545210086534,1691.05640819991,20.4625619247446,0.0358890701468189,0.0811582381729201,0.00367047308319739,0.0420065252854812,0.0407830342577488,0.0171288743882545,0.4066,0.4037,0.0315,0.3453,0.3505,0.2572,20.84257965,45.76886358,4.81733712,39.71209774,48.90590615,385.6351238,0.303030303030303
520526.0,贵州省,*威宁县,2024.0,128.77,,27231.0,15418.0,12.32,70.0,8377.0,7834.0,6.0837151510445,,0.9393,32.0,1287.0,0.0999456395123088,,,1.0253,0.748495376503496,-0.0230914728313575,26.4150033911017,-0.244918813955751,0.606915339766996,0.105838393268237,0.634207689573702,2165.41065985243,16.8082377495227,0.0109541197015399,0.0317510715986665,0.00127004286394666,0.0204794411811399,0.0269884108588665,0.0300047626607398,0.381,0.447,0.2492,0.3627,0.3672,0.3144,14.10054913,15.73395303,13.18571403,24.32165102,29.27535515,74.14384633,0.231111111111111
520527.0,贵州省,赫章县,2024.0,59.19,,30986.0,14437.0,5.18,45.0,4519.0,4828.0,8.15678324041223,,0.9189,26.0,921.0,0.155600608210846,,,1.3135,0.787653299974454,-0.0196394744324777,27.1224671597921,-0.263735672852058,0.654259309624979,0.0828590846205602,0.830749488872029,1996.89780059862,20.0238690335771,0.0200431699044095,0.0465618254702436,0.000616712920135677,0.0403946962688868,0.0345359235275979,0.0243601603453592,0.3872,0.415,,0.3986,0.3641,0.2297,20.03913478,40.62120819,,15.08327146,14.58766494,278.5181318,0.288888888888889
520622.0,贵州省,*玉屏县,2024.0,14.28,,77767.0,18871.0,5.24,6.0,875.0,1323.0,9.26470588235294,,0.9958,3.0,378.0,0.264705882352941,,,1.5767,0.701004829388287,-0.0344347811514221,35.7479394212507,-0.192579296055898,0.690766191695775,0.127480982806629,0.799145566742357,501.929726337729,13.3970572290969,0.0419847328244275,0.141221374045802,0.00572519083969466,0.305343511450382,0.125954198473282,0.278625954198473,0.2801,0.2901,0.0,0.2246,0.358,0.2823,103.07713384,213.35892012,117.0661512,671.92721221,161.4319736,56.07954996,0.338383838383838
520623.0,贵州省,石阡县,2024.0,27.75,,54662.0,14930.0,3.47,28.0,1651.0,2605.0,9.38738738738739,,0.993,8.0,733.0,0.264144144144144,,,1.0771,0.778048531872686,-0.0240868928662713,32.6578797527804,-0.243575585382505,0.718982043240521,0.0925854900034545,0.899550777291059,863.938688328236,19.5928836472827,0.0258183494698018,0.0617796219455971,0.000922083909635777,0.0640848317196865,0.0428769017980636,0.0161364684186261,0.3736,0.3399,,0.3768,0.3584,0.1876,30.2601597,92.12370133,,75.2429014,90.23815396,115.1578684,0.36
520624.0,贵州省,思南县,2024.0,42.98,,44689.0,14756.0,3.64,39.0,2633.0,4473.0,10.4071661237785,,0.9836,22.0,1117.0,0.259888320148906,,,0.9579,0.737246920163428,-0.0335509991077109,35.0051886316249,-0.210861378841567,0.720813119870288,0.101688884443394,0.878128715870625,710.426812985569,18.0932565486107,0.0338447653429603,0.751805054151625,0.00135379061371841,0.0555054151624549,0.0473826714801444,0.0144404332129964,0.4089,0.3894,0.0,0.3607,0.3855,0.2317,21.49482619,52.94944961,208.9327125,54.13060412,59.20433478,38.58525688,0.493333333333333
