name,Year,RSEI_mean,RSEI_stdDev,NDVI_mean,WET_mean,NDBSI_mean,LST_mean,Good_Ratio_mean,Elevation_mean,Slope_mean
南明区,2020,0.4897318965531509,0.3698067062601577,0.5540541908436186,-0.04434104733391023,-0.14087783824077538,303.37576878833204,0.4688972301090426,1139.5523098322376,11.184223136801421
钟山区,2020,0.42379739570696345,0.31760808815913766,0.5940757516703358,-0.055866402364225534,-0.10822333372469489,300.39038196260316,0.3321415300887996,1902.34122680671,17.911269220930343
红花岗区,2020,0.6580339695045807,0.26483878441913467,0.6730589552857265,-0.031116004029156,-0.20055974096627566,298.8618582825813,0.6628473416453123,933.5669983857755,14.672736770802347
西秀区,2020,0.6461486175612725,0.3232369279938631,0.6996756524151461,-0.03616368593298043,-0.20353208005854137,304.4996767988267,0.6360976197519147,1339.189087307349,12.227955247895531
七星关区,2020,0.6582394000345958,0.29662796316631795,0.7198246561517416,-0.036443821434343375,-0.200323575449032,300.9607417455368,0.6339924122187139,1521.3891714390934,19.32678798457522
碧江区,2020,0.7100883041541918,0.30675556325076525,0.741910040053062,-0.031632733297184974,-0.22995881269189508,309.02995332787543,0.7443205128950677,480.22229484181827,20.112839358877093
兴义市,2020,0.5015569901011425,0.33327078272294064,0.6448493069623291,-0.05059584119465137,-0.1414863708463635,303.5616334923181,0.4281827775041095,1322.791188195281,18.961765395021533
凯里市,2020,0.7510646631439764,0.2602591520039227,0.7170265303492357,-0.020040804149684302,-0.2415861169237332,300.9274021195566,0.7742490705462143,857.6180257412992,18.18057937097061
都匀市,2020,0.7942852760332676,0.23764124073292126,0.7692279123222795,-0.02089625226619032,-0.2544248605570462,301.8686790439085,0.842619395128638,1031.3762626279922,18.343166104520474
云岩区,2020,0.4186291043936968,0.3755834600647482,0.5165759431465202,-0.04409013412713734,-0.12002642888387136,310.14063470289614,0.3690190396024095,1183.758742944572,13.698030457116282
六枝特区,2020,0.4970817893574325,0.33525191038643665,0.6598898925552227,-0.05417041790803331,-0.1385765551364815,304.06034108550483,0.43461186035433846,1418.4881072881678,19.081703010402506
汇川区,2020,0.7299549640287655,0.2214086121352205,0.727363993877126,-0.025617407263189895,-0.2302074686615771,298.4621717571379,0.7713759317459797,1065.3642629242117,20.323467160175696
平坝区,2020,0.6787589402316975,0.3035243035676856,0.7090802380617824,-0.030165965533646134,-0.22113503187508982,304.840238629742,0.6696003900324081,1315.0843664055117,12.2915797275477
大方县,2020,0.6568543770493597,0.33268922508530735,0.7176571578670754,-0.03559487560759443,-0.20013651294655743,300.1843564742069,0.6228141511278387,1545.1919634792923,17.534749575547234
万山区,2020,0.7844527804703516,0.2667952251737662,0.7858564939853919,-0.023614399233362036,-0.25893200727034704,308.06125076009397,0.816021132694298,612.3859121692032,18.659896335187213
兴仁市,2020,0.40729668947598396,0.3351101297944506,0.6031741016067873,-0.06359109629283562,-0.10153933290092482,301.8127873849876,0.3282423945319716,1411.988777195044,15.28878971452757
黄平县,2020,0.7861864584133662,0.2390025426931271,0.757784604335848,-0.017837224894407266,-0.2545513227597473,302.8564477689592,0.8021340039856704,891.0218291394473,17.242737258648134
福泉市,2020,0.7582177417126207,0.25231864287468453,0.7464311464952873,-0.0231867396242283,-0.24347436478380594,301.41438431182024,0.7861114289129005,1093.2795080177,16.536337798649825
花溪区,2020,0.6856874764962886,0.31053100346689777,0.6889737523815787,-0.02816741501081929,-0.2169651053061202,302.73405186071386,0.6952761029122269,1219.428615741217,12.741578818601054
水城区,2020,0.5139726631050088,0.3076309808025213,0.6659262272256294,-0.051582749481799695,-0.1445044046760937,301.5280554218299,0.4380229847218138,1699.2980889190617,22.35063355579672
播州区,2020,0.6926123829604391,0.24704884053710413,0.7014897415624438,-0.027656536390505318,-0.2171753177021076,299.2082654364792,0.7093187266833263,965.7846090014219,15.404858000419505
普定县,2020,0.5232202915763409,0.33575385217752357,0.65450594038376,-0.04813647162935824,-0.15101956466896874,303.3856103895644,0.4522523921356772,1351.1153042658902,16.11771994187955
黔西市,2020,0.6124300761038116,0.28877215250656635,0.6996461158953714,-0.0371938243601416,-0.18915769037421776,301.67786598306753,0.5630775341949702,1287.214364808951,14.648810626560152
江口县,2020,,,,,,,,765.3581777548062,21.872733159648085
普安县,2020,0.46688785202646815,0.33347458181043244,0.6390132223941364,-0.057654274578935114,-0.1237206206486697,301.6222735679454,0.40247891090546284,1544.193490169466,18.705122436386517
施秉县,2020,,,,,,,,872.052536570154,18.75457164112017
荔波县,2020,0.8150933165221954,0.1934296585132564,0.8173905897408477,-0.024456830117854125,-0.2629855131166423,304.2779229443394,0.8783315034766951,772.2303724721966,21.685709163379876
乌当区,2020,0.7382229181660289,0.29808328190343614,0.7296326294508825,-0.02427997176314865,-0.23502072460432763,301.95617217001796,0.7473012056227819,1225.2771776373677,15.378299430637346
盘州市,2020,0.46281196215630005,0.30041859129805754,0.6329309607373232,-0.05525598084417907,-0.1248907888280247,300.435345261435,0.3653532987727584,1796.0588841223532,18.725719204995016
桐梓县,2020,0.7935589781361326,0.18161235422463953,0.750551523792076,-0.02145220444172541,-0.24613809977135814,297.96656535483953,0.8664876529202564,1112.9529182439042,22.767521621220588
镇宁布依族苗族自治县,2020,0.6496596186446901,0.2875245946718031,0.7313545664007238,-0.03942398678105516,-0.20458925918531423,305.3413337836293,0.6321494954984846,1044.4324552094574,20.09704835306218
金沙县,2020,0.7333741752413928,0.2548699467112271,0.7349164011061019,-0.026170985317656662,-0.2267512082201335,300.0744806165603,0.7479117251471998,1105.8637752120385,17.08360001395986
玉屏侗族自治县,2020,0.6323025951803192,0.30381436205818635,0.7121013838609062,-0.03919389567390208,-0.20686816108723866,309.8935427248435,0.6106440180249397,501.90815615896804,13.39358120739531
晴隆县,2020,0.3182269227153025,0.3042568448774496,0.5817512819460908,-0.07614486024742227,-0.0703029349061429,304.5101177860495,0.21543288056038165,1229.008046173402,20.599702814722942
三穗县,2020,0.8486098184346066,0.1831773993509232,0.8032787291227567,-0.012990170261090807,-0.27820417776068684,306.7476229668853,0.9038085469634063,749.4974978302414,19.33102265639254
贵定县,2020,0.8164066847746352,0.23081205166284044,0.7744729636975434,-0.018265039506930078,-0.265077679720687,299.53668267967663,0.8614518351772988,1195.5715303229244,18.191848336582847
白云区,2020,0.5726377978196887,0.37426328804100223,0.6317720982123729,-0.039256704869207786,-0.17729668873054022,306.7634431260929,0.5525062742129362,1321.6322200509373,10.584673327839711
绥阳县,2020,0.7914816850930847,0.175244965804631,0.7432796647358896,-0.020092026404069162,-0.24762568778052582,295.1002197155973,0.8673304629481484,1069.483626015571,20.79296572861267
关岭布依族苗族自治县,2020,0.4317824107399828,0.32871065326241716,0.637851317915595,-0.06611826758973605,-0.11550468638260225,306.20604939569614,0.36554211502296824,1121.8642651252248,20.38629531019963
织金县,2020,0.6566112619108243,0.30957613766239417,0.7235170168087965,-0.03607591149235069,-0.19730902507841785,301.43801440975517,0.6310770245721599,1505.4470052046033,18.300475490551168
石阡县,2020,0.7936052393840994,0.203434010379803,0.7611634674431131,-0.019724430527517857,-0.24886851337577595,299.36872927884906,0.8398515684169386,863.9191482723162,19.59749340929081
贞丰县,2020,0.6432274289382859,0.279960732380614,0.7298199436695703,-0.039911403460107006,-0.20385922919442934,306.3091530968547,0.6217702726376911,962.2832109292114,19.37915611236689
