name,Year,RSEI_mean,RSEI_stdDev,NDVI_mean,WET_mean,NDBSI_mean,LST_mean,Good_Ratio_mean,Elevation_mean,Slope_mean
南明区,2020,0.4367167538418285,0.3575727970188886,0.5512825089697977,-0.04935757457749415,-0.1251084208297066,309.9216660680686,0.37572431623415237,1139.5523098322376,11.184223136801423
钟山区,2020,0.43059837764700987,0.3084019386403816,0.5882366833362106,-0.05997509497416472,-0.10788953073584043,300.00690477592934,0.3284734800287401,1902.341226806709,17.911269220930333
红花岗区,2020,,,,,,,,933.5669983857753,14.67273677080234
西秀区,2020,0.5767106422911591,0.33717262719561875,0.6705001227662729,-0.044874350012076104,-0.1727088531082976,305.85660959637454,0.5492570950739684,1339.1890873073485,12.22795524789553
七星关区,2020,0.6314211672916519,0.3145108317641053,0.7089088346543679,-0.041439719146397394,-0.18792821214874636,302.29266379517355,0.599852020955564,1521.3891714390938,19.326787984575216
碧江区,2020,0.7111723370240008,0.3118224661184566,0.7464937423620033,-0.031644949051268224,-0.231161722826943,310.3881619770264,0.7480702926252871,480.222294841818,20.1128393588771
兴义市,2020,0.47164732235619244,0.3278270301469969,0.6272706327326423,-0.05476336998658878,-0.12519791792889054,305.23714111475056,0.3801429519779943,1322.7911881952805,18.96176539502153
凯里市,2020,0.7186843633515707,0.266282093926049,0.7175513739282378,-0.022247047058483918,-0.23721657709793198,305.24229548682484,0.7070618508396087,857.6180257412991,18.180579370970612
都匀市,2020,0.766139023853917,0.25212412276359125,0.7662721231053243,-0.022705537467710837,-0.24746797322106634,305.9914015872313,0.8090147894164655,1031.3762626279922,18.343166104520478
云岩区,2020,0.37478887578528597,0.35666055551900505,0.49289922032283556,-0.04809292178243098,-0.10248274683107807,311.506033742876,0.3206015870551546,1183.7587429445718,13.698030457116284
六枝特区,2020,0.4972071913070756,0.3377843085540559,0.6579082642611772,-0.057360864415589054,-0.1329928025728469,305.28678385854073,0.44121055297557804,1418.4881072881676,19.081703010402506
汇川区,2020,,,,,,,,1065.3642629242108,20.323467160175692
平坝区,2020,0.6176527138704978,0.3128024432998982,0.6917693100542177,-0.03774882709318693,-0.19758763850839417,306.9442067974022,0.5817636384783825,1315.0843664055117,12.291579727547699
大方县,2020,0.6552215280889226,0.33324719411963794,0.7134231452925315,-0.03688814660364135,-0.19557332705086322,300.7498845223174,0.6159960065518146,1545.1919634792926,17.534749575547234
万山区,2020,0.7896294387323697,0.2612443396274132,0.791037590470958,-0.02295648850085207,-0.2613697871048283,308.5559161706728,0.8246665902892836,612.3859121692032,18.65989633518721
兴仁市,2020,0.43452216992703413,0.3418184010463676,0.6103032626938715,-0.0647342040637595,-0.1079252035461079,303.0613065651968,0.3560023311841636,1411.9887771950437,15.28878971452757
黄平县,2020,,,,,,,,891.0218291394478,17.242737258648145
福泉市,2020,0.7223090445541585,0.2642076884319926,0.7360430663285341,-0.026223700056180375,-0.2306262493155202,305.7373685678569,0.7415212539492123,1093.2795080176998,16.53633779864982
花溪区,2020,0.6141909876821231,0.32694836569993335,0.6746676635028477,-0.03614278197764032,-0.19474632511132273,308.29262858627254,0.593551646110332,1219.428615741217,12.74157881860106
水城区,2020,0.5280593168917379,0.31097276829673054,0.6681936323518438,-0.05429349544609067,-0.1461391287667013,302.17825979224483,0.4591940275084213,1699.2980889190628,22.35063355579673
播州区,2020,0.7526445497343824,0.2828689747539672,0.72537626088264,-0.019028445137020945,-0.2361674943164015,301.7990634588796,0.7318701724796429,965.7846090014217,15.40485800041951
普定县,2020,0.5093010482010532,0.3420941995748116,0.6447983856854358,-0.05228068139673943,-0.1393149558778788,304.2079659660171,0.436873886930258,1351.11530426589,16.117719941879546
黔西市,2020,0.5264336350945065,0.32497555733575834,0.6549439952114315,-0.04619786304121038,-0.14974091301475637,303.5465535377403,0.44788799326511436,1287.2143648089507,14.648810626560161
江口县,2020,,,,,,,,765.3581777548063,21.87273315964808
普安县,2020,0.5156076991876164,0.3280713170599862,0.6604827631408529,-0.05648502435477911,-0.13984974975350495,302.62084671621045,0.45541291320362665,1544.1934901694656,18.705122436386528
施秉县,2020,,,,,,,,872.0525365701542,18.754571641120172
荔波县,2020,,,,,,,,772.2303724721967,21.685709163379876
乌当区,2020,0.6713951712899335,0.3246915933121971,0.7123221787457558,-0.030939283420643445,-0.21351470450435944,307.6415710543078,0.6637411493363589,1225.2771776373686,15.378299430637352
盘州市,2020,0.527801662752654,0.30369134411693904,0.6670212362769775,-0.05420864630777816,-0.14604197762408572,301.51114632761505,0.4499784769593911,1796.0588841223523,18.725719204995006
桐梓县,2020,0.6170561291039613,0.17853613201966545,0.5915398772190118,-0.026037483610505455,-0.16689960568838133,291.7670497977079,0.5417371359344326,1112.9529182439042,22.767521621220588
镇宁布依族苗族自治县,2020,0.5855191450780249,0.31588459598365226,0.7021485620161457,-0.04689831127453273,-0.17623848990400207,306.5889937305815,0.5411942164816265,1044.432455209457,20.09704835306218
金沙县,2020,0.7459597991818402,0.28125698579097436,0.7371390132946641,-0.025359294281212693,-0.22652003113980704,301.76412889584105,0.7414732811310857,1105.8637752120383,17.08360001395985
玉屏侗族自治县,2020,0.6613225412010741,0.28904498049478383,0.7264493623659758,-0.03622486384516804,-0.2145238606510512,310.0284936398532,0.6660495472246014,501.90815615896804,13.39358120739531
晴隆县,2020,0.31754697639411744,0.30106124580201904,0.5738360941446549,-0.08067379392664607,-0.06565438124752235,306.2650250119284,0.21028002933125636,1229.008046173402,20.59970281472295
三穗县,2020,0.8455158437094948,0.1763908180487276,0.803087405585077,-0.012930218190504501,-0.27759004348908345,306.9384089091929,0.9084523345565007,749.4974978302414,19.33102265639254
