name,Year,RSEI_mean,RSEI_stdDev,NDVI_mean,WET_mean,NDBSI_mean,LST_mean,Good_Ratio_mean,Elevation_mean,Slope_mean
上城区,2020,0.23295907969352522,0.201084091926809,0.3520678198050979,-0.037077986359868136,-0.06861469934149779,315.8956199116787,0.058346820902478544,12.208837518557957,3.1891605850622238
海曙区,2020,0.5720075580038798,0.31445494072342267,0.6449867598792524,-0.026218332595829383,-0.1935784078621433,308.5326435280678,0.5325848759365991,161.3766718585956,12.649176156955487
鹿城区,2020,0.5264874190742367,0.30185157604518625,0.5979499940403448,-0.020117832598252203,-0.18745859174354657,311.8588243938386,0.5318048719713856,130.5641157171198,12.260025661884146
南湖区,2020,0.42672371443670704,0.2638869637706167,0.5074174787270762,-0.03360129606003976,-0.13577727223533348,310.10195937648774,0.26771892681859266,6.496035933607926,2.1956391894412093
吴兴区,2020,0.44192052975036195,0.2456690367383921,0.5488361204124652,-0.0339825127075158,-0.14315548167597225,310.49587267618,0.30878792335779626,41.89731803884168,7.440738291016233
越城区,2020,0.41808335043944933,0.2954327491967919,0.5159197114295387,-0.03435125233977974,-0.12926560307742946,310.5867281603361,0.3242235891377119,32.960664637359784,5.548238939892001
婺城区,2020,0.6428070422325833,0.30303995293944386,0.7117905094657933,-0.018774508808414542,-0.2299018572361053,309.54445008283926,0.6440177990443289,292.9633811747779,15.834621518795288
柯城区,2020,0.4824733758680174,0.2928572468509087,0.6368687955265236,-0.037422750029486584,-0.16703657737054414,310.68434576124037,0.4011497865805251,246.30383401044077,12.080677140849687
定海区,2020,0.6068955161714986,0.3201767553486368,0.6603877886037738,-0.023282640107015203,-0.20552939989330574,307.6783498886973,0.5973830555072748,55.937694085332225,10.661906965390317
椒江区,2020,0.32610551191933934,0.2862226932274617,0.486466267707262,-0.042969324464354204,-0.11679578696885748,315.7058569857041,0.20828916217625,13.564978654348854,3.507578637857214
莲都区,2020,0.7379337034775341,0.25587151934396524,0.7702223173754916,-0.012491264198668734,-0.2627262173242252,306.9400623814517,0.7852353088221912,386.91989458309774,21.001260349128227
拱墅区,2020,0.26284393102302,0.22630455986386475,0.3754157246014149,-0.03381904660192224,-0.08063934524203183,315.58334162133787,0.11289429358002293,20.779050624629754,5.164918965969017
江北区,2020,0.3896448916947588,0.2818416860495812,0.502758424488915,-0.03802439744848174,-0.1238132393679769,311.49379652939535,0.2634021049255577,21.4906506739086,5.094955275839059
龙湾区,2020,0.29281199272932285,0.2548577715958322,0.4191078795453069,-0.040432908834671065,-0.08607778948856724,313.5977076549062,0.14892339485256267,33.303682638744334,4.559422949391083
